idSku,diasEntrePedidos,diasLeadtime,ciclo_aprovisionamiento,eurPrecioMedio,RMSE,stock_seguridad,coste_stock_diario
1,18,2,20,1.3700015708739,66.57602400622213,489,33.49653840786685
2,28,4,32,1.3700015708739,101.0038276298294,938,64.25307367398591
3,28,2,30,1.3700015708739,39.876197300032395,359,24.591528197186506
4,14,2,16,1.3700015708739,34.11887080682395,224,15.34401759378768
5,14,4,18,1.3700015708739,60.7554542837532,423,28.975533223982985
6,11,2,13,1.3700015708739,49.651023533569116,294,20.13902309184633
7,28,2,30,1.62,80.75977596638944,726,58.80600000000001
8,8,4,12,1.92008340056265,21.934634830062823,125,12.000521253516562
9,7,2,9,1.08,46.11046518958576,227,12.258000000000001
10,5,6,11,48.4294573928935,17.957341164407254,98,237.30434122517815
11,7,4,11,1.92008340056265,23.509103898313413,128,12.28853376360096
12,14,4,18,1.92008340056265,38.254953162191185,267,25.633113397511377
13,11,2,13,1.62,15.242861528801175,91,7.371000000000001
14,15,2,17,1.92008340056265,51.437288447751044,348,33.40945116979011
15,8,4,12,1.3700015708739,82.31407435916921,468,32.05803675844926
16,18,2,20,1.97,55.201715170800306,405,39.8925
17,28,4,32,1.3700015708739,31.995328267230438,297,20.344523327477415
18,18,2,20,1.92008340056265,47.45698196909153,349,33.50545533981824
19,7,2,9,48.4294573928935,19.52220957439671,97,234.88286835553347
20,28,2,30,1.08,81.41048253552283,732,39.528000000000006
21,18,2,20,1.08,68.11505377270663,500,27.000000000000004
22,8,4,12,1.08,33.41285386522384,190,10.260000000000002
23,6,2,8,1.08,16.965692168131593,79,4.266000000000001
24,6,2,8,1.3700015708739,26.161766311335434,122,8.35700958233079
25,28,4,32,1.92008340056265,41.38354670813426,384,36.86560129080288
26,15,4,19,1.3700015708739,46.53864474332546,333,22.810526155050436
27,7,4,11,1.92008340056265,33.38374718738426,182,17.472758945120113
28,14,4,18,1.92008340056265,44.789899923254296,312,29.953301048777337
29,14,4,18,1.71,33.722636554934674,235,20.0925
30,14,2,16,1.37018710987944,46.60025826963259,306,20.963862781155434
31,11,2,13,1.71,18.692843919347943,111,9.4905
32,8,4,12,24.0977097828193,14.19251036382748,81,97.59572462041817
33,28,2,30,1.71,22.519576220064913,203,17.3565
34,18,2,20,1.71,23.90155651144345,176,15.048000000000002
35,7,2,9,1.08,23.06404127641121,114,6.156000000000001
36,6,2,8,1.92008340056265,15.599056975099382,73,7.008304412053672
37,1,6,7,48.4294573928935,8.690488488222881,38,92.01596904649764
38,8,4,12,14.2890500261631,21.398538171974177,122,87.16320515959492
39,8,4,12,1.92008340056265,29.448782134933342,168,16.12870056472626
40,8,4,12,48.4294573928935,26.82166492598305,153,370.48534905563525
41,11,2,13,1.08,44.196953397889004,262,14.148000000000001
42,8,4,12,1.92008340056265,15.970325045260727,91,8.736379472560056
43,28,4,32,1.97,65.83171297322963,611,60.1835
44,18,2,20,0.54,40.659923238960566,299,8.073
45,8,4,12,5.59,36.788027595387256,209,58.41550000000001
46,14,4,18,1.3700015708739,26.176979089158365,183,12.535514373496184
47,28,4,32,1.3700015708739,103.467311437393,960,65.7600754019472
48,28,2,30,14.2890500261631,33.82082915672655,304,217.19356039767914
49,28,4,32,1.3700015708739,86.81815335848442,806,55.211063306218165
50,18,2,20,1.08,41.43703081708172,304,16.416
