idSku,diasEntrePedidos,diasLeadtime,ciclo_aprovisionamiento,eurPrecioMedio,RMSE,stock_seguridad,coste_stock_diario
1,18,2,20,1.3700015708739,66.3023378170031,487,33.359538250779465
2,28,4,32,1.3700015708739,101.0038276298294,938,64.25307367398591
3,28,2,30,1.3700015708739,117.74964882316974,1058,72.47308309922931
4,14,2,16,1.3700015708739,54.53536645783418,358,24.52302811864281
5,14,4,18,1.3700015708739,58.36735172806582,407,27.879531967283864
6,11,2,13,1.3700015708739,62.89256027489289,372,25.48202921825454
7,28,2,30,1.62,82.73842193712946,744,60.26400000000001
8,8,4,12,1.92008340056265,41.2712519717568,235,22.560979956611135
9,7,2,9,1.08,45.751684850578634,226,12.204
10,5,6,11,48.4294573928935,16.520146919361466,90,217.93255826802076
11,7,4,11,1.92008340056265,20.44732795107916,112,10.75246704315084
12,14,4,18,1.92008340056265,34.36187915028424,240,23.0410008067518
13,11,2,13,1.62,17.401198928175354,103,8.343000000000002
14,15,2,17,1.92008340056265,52.07352288557291,353,33.88947201993077
15,8,4,12,1.3700015708739,76.98484699385112,438,30.003034402138407
16,18,2,20,1.97,68.75044620372299,505,49.7425
17,28,4,32,1.3700015708739,27.253487434080572,253,17.330519871554834
18,18,2,20,1.92008340056265,26.512936084419504,195,18.720813155485835
19,7,2,9,48.4294573928935,14.033590654806298,70,169.50310087512725
20,28,2,30,1.08,84.3202169701845,758,40.932
21,18,2,20,1.08,65.53218972312963,481,25.974000000000004
22,8,4,12,1.08,25.20581943387942,144,7.776000000000001
23,6,2,8,1.08,19.105189464195583,89,4.806000000000001
24,6,2,8,1.3700015708739,21.75502221868636,101,6.918507932913195
25,28,4,32,1.92008340056265,43.90336154144891,408,39.169701371478055
26,15,4,19,1.3700015708739,49.84512376989713,357,24.454528040099113
27,7,4,11,1.92008340056265,26.729815765310796,146,14.016608824107344
28,14,4,18,1.92008340056265,35.83809941067424,250,24.001042507033123
29,14,4,18,1.71,27.644297914890284,193,16.5015
30,14,2,16,1.37018710987944,21.205275683521762,140,9.591309769156082
31,11,2,13,1.71,23.646826717196188,140,11.97
32,8,4,12,24.0977097828193,14.53025137869972,83,100.0054955987001
33,28,2,30,1.71,40.69671021375342,366,31.293000000000003
34,18,2,20,1.71,23.897525878619028,176,15.048000000000002
35,7,2,9,1.08,18.83259585576738,93,5.022
36,6,2,8,1.92008340056265,12.880249471430318,60,5.76025020168795
37,1,6,7,48.4294573928935,10.315514338392138,45,108.96627913401038
38,8,4,12,14.2890500261631,10.327955589886445,59,42.15269757718115
39,8,4,12,1.92008340056265,25.851647767747654,147,14.112612994135477
40,8,4,12,48.4294573928935,29.364348405250837,167,404.38596923066075
41,11,2,13,1.08,48.140061458637334,285,15.390000000000002
42,8,4,12,1.92008340056265,18.649488432753827,106,10.176442022982044
43,28,4,32,1.97,79.07904175798303,734,72.299
44,18,2,20,0.54,26.36633243814035,194,5.238
45,8,4,12,5.59,22.57788040894636,129,36.0555
46,14,4,18,1.3700015708739,44.91533577061834,313,21.440524584176533
47,28,4,32,1.3700015708739,77.44482572081775,719,49.251556472916704
48,28,2,30,14.2890500261631,57.21278729709846,514,367.2285856723917
49,28,4,32,1.3700015708739,60.39560303514968,561,38.42854406301289
50,18,2,20,1.08,29.98761212124008,220,11.88
